Human Signaling Network,16-Jan-14,,,
25759,SHC2,3559,IL2RA,Phy
7148,TNXB,3673,ITGA2,Pos
836,CASP3,3908,LAMA2,Pos
551,AVP,553,AVPR1B,Pos
64121,RRAGC,2475,MTOR,Neg
5037,PEBP1,4792,NFKBIA,Neg
2064,ERBB2,27250,PDCD4,Pos
1869,E2F1,5925,RB1,Pos
5934,RBL2,7027,TFDP1,Phy
6207,RPS13,8661,EIF3A,Phy
5156,PDGFRA,25759,SHC2,Pos
129401,NUP35,53981,CPSF2,Pos
80233,C17orf70,2189,FANCG,Pos
629,CFB,156,ADRBK1,Pos
10193,RNF41,57448,BIRC6,Neg
5603,MAPK13,4205,MEF2A,Pos
7337,UBE3A,9861,PSMD6,Phy
5567,PRKACB,5908,RAP1B,Pos
2046,EPHA8,2534,FYN,Phy
6167,RPL37,6208,RPS14,Phy
204851,HIPK1,4194,MDM4,Pos
2688,GH1,1154,CISH,Pos
5595,MAPK3,5580,PRKCD,Phy
4089,SMAD4,1387,CREBBP,Pos
915,CD3D,3105,HLA-A,Phy
5718,PSMD12,5887,RAD23B,Phy
7316,UBC,7314,UBB,Phy
8826,IQGAP1,4735,Sep-02,Neg
3679,ITGA7,55742,PARVA,Phy
3625,INHBB,93,ACVR2B,Pos
6778,STAT6,6403,SELP,Pos
3676,ITGA4,55742,PARVA,Phy
4350,MPG,7031,TFF1,Neg
5709,PSMD3,5705,PSMC5,Phy
30009,TBX21,6775,STAT4,Neg
6198,RPS6KB1,253260,RICTOR,Pos
6349,CCL3L1,1233,CCR4,Pos
6217,RPS16,6218,RPS17,Phy
5520,PPP2R2A,5584,PRKCI,Neg
920,CD4,941,CD80,Pos
2658,GDF2,92,ACVR2A,Phy
6093,ROCK1,4620,MYH2,Pos
1026,CDKN1A,5544,PRB3,Neg
7341,SUMO1,7332,UBE2L3,Pos
5879,RAC1,2242,FES,Pos
2908,NR3C1,4312,MMP1,Neg
10451,VAV3,5293,PIK3CD,Phy
6208,RPS14,6228,RPS23,Phy
7424,VEGFC,2321,FLT1,Pos
5048,PAFAH1B1,10142,AKAP9,Phy
998,CDC42,5058,PAK1,Pos
5116,PCNT,9814,SFI1,Phy
5747,PTK2,5335,PLCG1,Pos
3932,LCK,25759,SHC2,Pos
5336,PLCG2,50487,PLA2G3,Pos
1308,COL17A1,5339,PLEC,Phy
88,ACTN2,9223,MAGI1,Phy
7314,UBB,6223,RPS19,Phy
22798,LAMB4,22801,ITGA11,Pos
2931,GSK3A,5055,SERPINB2,Pos
8738,CRADD,8772,FADD,Phy
9320,TRIP12,6555,SLC10A2,Phy
156,ADRBK1,2149,F2R,Pos
