5155,PDGFB,3791,KDR,Pos
7040,TGFB1,1581,CYP7A1,Neg
3570,IL6R,9846,GAB2,Pos
4638,MYLK,3680,ITGA9,Pos
650,BMP2,4205,MEF2A,Pos
2178,FANCE,3280,HES1,Phy
79902,NUP85,9939,RBM8A,Pos
8844,KSR1,10971,YWHAQ,Pos
5719,PSMD13,5693,PSMB5,Phy
3655,ITGA6,55742,PARVA,Phy
4478,MSN,5747,PTK2,Phy
2444,FRK,867,CBL,Pos
5295,PIK3R1,896,CCND3,Pos
5617,PRL,4790,NFKB1,Pos
796,CALCA,43,ACHE,Pos
51529,ANAPC11,64682,ANAPC1,Pos
2908,NR3C1,30009,TBX21,Neg
2773,GNAI3,4893,NRAS,Pos
1616,DAXX,5608,MAP2K6,Pos
6777,STAT5B,891,CCNB1,Pos
9149,DYRK1B,5594,MAPK1,Pos
5696,PSMB8,246184,CDC26,Pos
8607,RUVBL1,7015,TERT,Pos
10398,MYL9,22954,TRIM32,Phy
3985,LIMK2,1398,CRK,Pos
5566,PRKACA,81608,FIP1L1,Pos
8470,SORBS2,867,CBL,Phy
6794,STK11,5564,PRKAB1,Pos
2932,GSK3B,4137,MAPT,Neg
5928,RBBP4,2735,GLI1,Neg
1906,EDN1,2774,GNAL,Phy
7525,YES1,2934,GSN,Pos
3553,IL1B,6401,SELE,Pos
6872,TAF1,4193,MDM2,Pos
5536,PPP5C,472,ATM,Neg
3574,IL7,3561,IL2RG,Pos
6364,CCL20,3577,CXCR1,Pos
6237,RRAS,8503,PIK3R3,Pos
6452,SH3BP2,920,CD4,Phy
4957,ODF2,11064,CEP110,Phy
5293,PIK3CD,7294,TXK,Pos
87,ACTN1,7094,TLN1,Phy
3725,JUN,3725,JUN,Pos
3556,IL1RAP,5295,PIK3R1,Phy
3630,INS,6654,SOS1,Pos
8651,SOCS1,7124,TNF,Neg
8536,CAMK1,2597,GAPDH,Pos
5501,PPP1CC,1072,CFL1,Pos
5595,MAPK3,27330,RPS6KA6,Pos
2274,FHL2,3680,ITGA9,Phy
2768,GNA12,8698,S1PR4,Phy
51371,POMP,5692,PSMB4,Phy
1029,CDKN2A,9338,TCEAL1,Pos
5686,PSMA5,64682,ANAPC1,Pos
23624,CBLC,9180,OSMR,Neg
1278,COL1A2,51206,GP6,Pos
3552,IL1A,5293,PIK3CD,Pos
4609,MYC,898,CCNE1,Pos
3718,JAK3,5290,PIK3CA,Phy
51384,WNT16,8321,FZD1,Pos
1440,CSF3,9846,GAB2,Pos
8398,PLA2G6,9373,PLAA,Pos
80227,PAAF1,1163,CKS1B,Pos
2353,FOS,6774,STAT3,Phy
51588,PIAS4,8651,SOCS1,Neg
3455,IFNAR2,7015,TERT,Neg
5604,MAP2K1,2353,FOS,Pos
3590,IL11RA,3718,JAK3,Pos
10856,RUVBL2,4691,NCL,Pos
5058,PAK1,56270,WDR45B,Pos
1453,CSNK1D,4957,ODF2,Phy
29760,BLNK,4690,NCK1,Phy
8204,NRIP1,2168,FABP1,Pos
7124,TNF,9429,ABCG2,Pos
841,CASP8,8717,TRADD,Phy
4088,SMAD3,6662,SOX9,Pos
2792,GNGT1,9368,SLC9A3R1,Phy
10152,ABI2,10096,ACTR3,Pos
2353,FOS,54578,UGT1A6,Pos
1387,CREBBP,6929,TCF3,Phy
816,CAMK2B,3925,STMN1,Pos
7534,YWHAZ,6117,RPA1,Neg
6778,STAT6,894,CCND2,Pos
7443,VRK1,9760,TOX,Pos
3932,LCK,5581,PRKCE,Pos
84254,CAMKK1,816,CAMK2B,Pos
10672,GNA13,999,CDH1,Pos
5707,PSMD1,5887,RAD23B,Phy
5909,RAP1GAP,54386,TERF2IP,Neg
51701,NLK,51701,NLK,Pos
26281,FGF20,2260,FGFR1,Pos
6257,RXRB,1962,EHHADH,Pos
7528,YY1,990,CDC6,Pos
5694,PSMB6,51529,ANAPC11,Pos
6387,CXCL12,3932,LCK,Pos
1848,DUSP6,6300,MAPK12,Neg
3364,HUS1,545,ATR,Pos
2206,MS4A2,2885,GRB2,Pos
2885,GRB2,2475,MTOR,Pos
5688,PSMA7,1017,CDK2,Pos
2205,FCER1A,4773,NFATC2,Pos
2885,GRB2,8038,ADAM12,Phy
6885,MAP3K7,5906,RAP1A,Pos
4040,LRP6,1387,CREBBP,Pos
6272,SORT1,839,CASP6,Pos
1855,DVL1,8976,WASL,Phy
7422,VEGFA,8877,SPHK1,Pos
91442,C19orf40,2177,FANCD2,Pos
2869,GRK5,6869,TACR1,Pos
5719,PSMD13,7321,UBE2D1,Pos
27006,FGF22,5335,PLCG1,Pos
1020,CDK5,1407,CRY1,Pos
7297,TYK2,6773,STAT2,Pos
2264,FGFR4,660,BMX,Pos
998,CDC42,4214,MAP3K1,Pos
5600,MAPK11,6667,SP1,Pos
4193,MDM2,2263,FGFR2,Neg
652799,LOC652799,6777,STAT5B,Pos
5706,PSMC6,5711,PSMD5,Phy
148022,TICAM1,3661,IRF3,Pos
5588,PRKCQ,9564,BCAR1,Pos
5347,PLK1,675,BRCA2,Neg
246778,IL27,6773,STAT2,Pos
2002,ELK1,595,CCND1,Pos
3565,IL4,6464,SHC1,Pos
9261,MAPKAPK2,10092,ARPC5,Pos
8772,FADD,8717,TRADD,Phy
3717,JAK2,5335,PLCG1,Pos
3371,TNC,3693,ITGB5,Pos
5241,PGR,5568,PRKACG,Phy
10806,SDCCAG8,10142,AKAP9,Phy
5777,PTPN6,5295,PIK3R1,Phy
7040,TGFB1,5728,PTEN,Pos
5690,PSMB2,5693,PSMB5,Phy
2280,FKBP1A,2475,MTOR,Neg
3661,IRF3,958,CD40,Pos
5590,PRKCZ,4773,NFATC2,Pos
10319,LAMC3,7533,YWHAH,Phy
80227,PAAF1,5716,PSMD10,Phy
3458,IFNG,6772,STAT1,Pos
5587,PRKD1,5777,PTPN6,Pos
3516,RBPJ,6502,SKP2,Pos
1947,EFNB1,2049,EPHB3,Phy
5290,PIK3CA,896,CCND3,Pos
5702,PSMC3,51433,ANAPC5,Pos
2776,GNAQ,54331,GNG2,Phy
921,CD5,974,CD79B,Phy
5610,EIF2AK2,5580,PRKCD,Pos
1019,CDK4,602,BCL3,Pos
1435,CSF1,7422,VEGFA,Pos
23162,MAPK8IP3,5609,MAP2K7,Phy
2549,GAB1,3265,HRAS,Pos
1457,CSNK2A1,55616,ASAP3,Pos
1398,CRK,5829,PXN,Pos
6714,SRC,2247,FGF2,Neg
3364,HUS1,6118,RPA2,Phy
10657,KHDRBS1,1387,CREBBP,Neg
11097,NUPL2,3836,KPNA1,Pos
7040,TGFB1,2626,GATA4,Pos
2056,EPO,3624,INHBA,Pos
1500,CTNND1,3082,HGF,Neg
1026,CDKN1A,7027,TFDP1,Neg
2782,GNB1,5296,PIK3R2,Pos
4615,MYD88,7124,TNF,Pos
80254,CEP63,5116,PCNT,Phy
5156,PDGFRA,3845,KRAS,Pos
9738,CP110,9814,SFI1,Phy
894,CCND2,1871,E2F3,Neg
6794,STK11,53632,PRKAG3,Pos
3551,IKBKB,7185,TRAF1,Phy
5688,PSMA7,197131,UBR1,Phy
4908,NTF3,4155,MBP,Pos
